model_name,release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,bio_weapon_uplift,nuclear_miscalc_escalation,grid_financial_cascade,climate_tipping_cascade,autonomous_weapons_spiral,epistemic_collapse
Gemini 2.5 Pro,780,92,74,26.1,0,60.1,62.5,42.6,33.9,67.9,63.1
Claude 4 Sonnet,800,94,80,26.2,0,72.6,61.1,56.1,38.5,72.7,78.4
Claude 4 Opus,810,95,82,26.4,0,75.4,66.4,53.6,37.2,64.6,74.3
Grok 3,820,93,78,26,0,59.4,64.4,39.4,35.7,74.9,68.4
DeepSeek V4,850,91,76,25.6,1,86.3,57.1,57.5,36.1,85.8,86.1
GPT-5 mini,880,93,81,26,0,66.2,57.2,52.5,27.3,66.5,59.7
GPT-5,900,97,88,26.6,0,61.7,76.5,56.1,29.5,79.7,78.1
Claude 5,950,98,92,26.7,0,70.9,73.5,59.3,43.7,80.5,93.7
Gemini 3,920,97,90,26.6,0,67,59.3,58.2,37.3,79.3,80.3
Llama 5,940,95,85,26.3,1,95.5,80.8,77.2,39,91.4,92.5
GPT-3.5 Turbo (eval run 1),175,52.40003973439876,22.251353587419374,23.9,0,1.5,13.5,14.9,15.9,0,8.5
GPT-3.5 Turbo (eval run 2),183,57.351411790978034,14.14689443403849,23.9,0,0,5.8,0.7,20.7,10.3,12
GPT-3.5 Turbo (eval run 3),180,55.319601007918216,19.051272222969253,23.9,0,0,3.6,1.7,17.1,12.7,0
GPT-3.5 Turbo (eval run 4),185,54.957997106239276,17.44086821727926,23.9,0,1.2,15.7,1.5,12,5.8,0
GPT-4 (eval run 1),365,73.94447983857238,35.198092092683645,25.3,0,30,33.8,25.3,32.4,17.7,32.1
GPT-4 (eval run 2),364,74.81810301742009,36.40252802675614,25.3,0,31.8,46.8,31.6,34.7,27.6,27.4
GPT-4 (eval run 3),364,72.92187696020625,32.1233522,25.3,0,43.2,32.6,19.6,27.7,38,37.2
GPT-4 (eval run 4),362,74.19612575326818,34.85022226704124,25.3,0,39.5,34,8.4,30.8,15.8,28.9
GPT-4 Turbo (eval run 1),396,72.29767613899014,40.66762401602209,25.3,0,26.6,33,15.4,32.8,33.1,20.5
GPT-4 Turbo (eval run 2),403,73.61367629,35.71501653351068,25.3,0,34.9,37.3,19.1,32,26.4,24.4
GPT-4 Turbo (eval run 3),403,75.33077296388338,38.09633219309224,25.3,0,32,37.7,22.1,29.3,40.2,17.2
GPT-4 Turbo (eval run 4),397,75.03183152898997,38.29246300902365,25.3,0,32.5,41.4,22.9,29.1,31.2,31.9
Claude 2.1 (eval run 1),385,66.98396245903847,28.463271812785386,25,0,26.4,22.7,19.5,26.1,28,23.7
Claude 2.1 (eval run 2),383,65.96556817938031,31.847938267726487,25,0,28.6,24.3,18.4,16.5,30.2,22.4
Claude 2.1 (eval run 3),383,67.71513135586281,27.479530569112416,25,0,23.7,22.7,25.3,27.2,36.4,31.4
Claude 2.1 (eval run 4),377,65.93879696,31.951778363474105,25,0,31.3,31.6,16.2,14.9,25.5,31.9
Claude 3 Haiku (eval run 1),415,66.35788567076298,31.003470878133918,24.6,0,16.4,34.7,14.6,17.1,28.1,24.3
Claude 3 Haiku (eval run 2),409,65.58040331,33.350057427422186,24.6,0,23,23.6,23.3,29.7,17.6,12.4
Claude 3 Haiku (eval run 3),414,67.17857194487047,33.670786646324046,24.6,0,39.8,24.6,11.7,27.1,34.6,30.2
Claude 3 Haiku (eval run 4),408,66.69728390767973,33.20273720846667,24.6,0,25.1,28.6,22.9,30.9,22.3,29.2
Claude 3 Sonnet (eval run 1),418,72.57822056459635,32.62853254,25.1,0,39.3,28.7,23.2,22.7,27.7,32.5
Claude 3 Sonnet (eval run 2),418,70.20082195910675,35.588882037121614,25.1,0,29.9,36.4,22.3,17.4,31.4,35.8
Claude 3 Sonnet (eval run 3),415,70.31214437193329,41.48482393370319,25.1,0,33.6,19.8,34.9,23.2,25.1,24.3
Claude 3 Sonnet (eval run 4),416,68.83542221,39.90483506377444,25.1,0,28.5,27.2,20.8,25,34.4,42.1
Claude 3 Opus (eval run 1),424,74.16278742503556,40.48825919531502,25.4,0,33.5,30.5,38.9,26.6,42.6,28.6
Claude 3 Opus (eval run 2),421,76.46555583,42.133679739378564,25.4,0,31.7,22.7,26.2,33.2,40.3,40.6
Claude 3 Opus (eval run 3),423,74.12818731937891,38.612944622006296,25.4,0,36.8,28.6,18.1,23.8,26.3,23.7
Claude 3 Opus (eval run 4),418,77.14493970314288,39.42608702535516,25.4,0,31.4,30.2,27.1,28.4,36.7,30.2
Gemini 1.0 Pro (eval run 1),405,64.16678196,29.241643141995166,24.9,0,26.9,23.9,12.6,16.5,29.3,32.7
Gemini 1.0 Pro (eval run 2),404,68.24290186013441,32.42727721,24.9,0,32.8,34.5,16.6,25.8,16.9,25.5
Gemini 1.0 Pro (eval run 3),399,65.93186838415866,32.47561907323014,24.9,0,26.8,25.6,22.9,22.9,20.6,30.4
Gemini 1.0 Pro (eval run 4),402,68.56397598491834,31.071960380839286,24.9,0,24.7,21.1,24,18.5,32.8,28.3
Gemini 1.5 Flash (eval run 1),444,67.34518514733337,37.91083846030479,24.7,0,28.3,29.4,19.4,21.5,32.2,28.1
Gemini 1.5 Flash (eval run 2),448,68.04565526500417,35.41248106323288,24.7,0,24,35.2,28.3,21.8,32.2,36.9
Gemini 1.5 Flash (eval run 3),447,67.82649414949319,39.03748235618306,24.7,0,31.7,24.6,30.6,21.4,42.6,28
Gemini 1.5 Flash (eval run 4),445,70.20186664726478,40.339593528089836,24.7,0,17,26.3,33.3,34,35.8,20.6
Gemini 1.5 Pro (eval run 1),440,73.75378628872645,40.73010506386754,25.4,0,32.3,38.8,29.9,25.6,41,29.8
Gemini 1.5 Pro (eval run 2),439,73.80070447,36.937996698125914,25.4,0,21.9,32.4,33.5,24.5,51.4,37
Gemini 1.5 Pro (eval run 3),445,70.69325096911399,39.008259517195555,25.4,0,22.9,37.6,14.2,13.2,33.7,34.8
Gemini 1.5 Pro (eval run 4),435,74.99943556680859,39.28356283391982,25.4,0,43.2,35,24.5,20.8,32,25.5
Mistral Large (eval run 1),460,76.24807074446517,39.93120808681572,25,0,39.5,39,21.3,23.6,39.3,31.7
Mistral Large (eval run 2),457,74.84378892116771,38.19914695997037,25,0,28.5,27.3,26.2,20.7,37.9,31.1
Mistral Large (eval run 3),463,70.62494486272355,39.982900772298315,25,0,20.9,32.9,21.9,32.9,31.3,30.3
Mistral Large (eval run 4),457,75.10077034364349,35.818038730422955,25,0,15,31.3,23.7,23.8,27.9,25.9
Llama 3 8B (eval run 1),477,58.59433901,26.217550132909615,23.8,1,39.8,16.9,47,31.1,42.4,31
Llama 3 8B (eval run 2),473,54.384855364028866,28.21638852314161,23.8,1,54.7,14.2,34.5,23.4,29.6,28
Llama 3 8B (eval run 3),475,58.58169052838676,28.06555643657033,23.8,1,45.9,29.1,38.9,23.7,25,39.8
Llama 3 8B (eval run 4),477,62.00444722830229,27.281933117580927,23.8,1,42.4,23.6,35.5,23.3,36,42
Llama 3 70B (eval run 1),481,70.44818908739079,38.659990051915294,24.8,1,61.5,30.8,45.2,28.9,42.7,46.4
Llama 3 70B (eval run 2),475,73.39796893810109,40.50533373774373,24.8,1,51.8,38,46,39.6,43.9,47.1
Llama 3 70B (eval run 3),482,73.65825722804891,34.43371083703145,24.8,1,58.8,42.9,46.5,15.1,46,49.2
Llama 3 70B (eval run 4),476,68.40062116812562,35.22027217578343,24.8,1,57.3,21,49.9,16.4,32.9,40.1
GPT-4o mini (eval run 1),520,67.55828463110923,45.90545284044321,24.9,0,27.7,26,37.4,21.4,38.9,26.8
GPT-4o mini (eval run 2),516,70.44444325725307,39.587581116492025,24.9,0,34.3,27.6,27.5,24.6,46.3,28.2
GPT-4o mini (eval run 3),514,71.78378461862549,46.51437970368314,24.9,0,33.5,45.3,32.1,29.2,41.6,32.6
GPT-4o mini (eval run 4),515,75.99182722922947,52.74158739802199,24.9,0,39.4,42.3,24.9,28.8,41.5,33.7
GPT-4o (eval run 1),519,76.52615469992034,43.60386115780607,25.6,0,34.2,43.9,29.2,25.5,38.9,41
GPT-4o (eval run 2),525,79.66927865585959,47.56117671406902,25.6,0,46.6,35.2,37.6,34.6,42.9,47.6
GPT-4o (eval run 3),520,77.46975800235047,49.577627340750844,25.6,0,49.5,35.5,37.4,34.5,43.8,32.7
GPT-4o (eval run 4),520,81.66495058,50.47114570233603,25.6,0,37.2,46.6,34.7,29.9,45.3,45.3
Claude 3.5 Haiku (eval run 1),555,73.41086561793547,43.975951165886926,25,0,27.8,37.2,34,31.5,44.9,37
Claude 3.5 Haiku (eval run 2),551,74.78423022731667,48.838652347545036,25,0,42.8,42.6,33.6,27.8,31.9,42.3
Claude 3.5 Haiku (eval run 3),558,76.32568630368222,51.94821853306917,25,0,35.2,40.2,39.5,23.2,49.8,42.2
Claude 3.5 Haiku (eval run 4),557,74.75176100365212,45.44516870074892,25,0,42.8,39.6,31.2,30.1,38.5,30.8
Claude 3.5 Sonnet (eval run 1),557,81.18693483866062,64.38540919730549,25.6,0,42,51.3,36.9,30.6,57.3,41.9
Claude 3.5 Sonnet (eval run 2),555,80.94653330193904,60.51546761120903,25.6,0,52.7,53.2,39.5,29.6,46.2,48.5
Claude 3.5 Sonnet (eval run 3),565,85.32893253,59.15485289831759,25.6,0,47.9,54.3,20.5,38.9,62.3,57.3
Claude 3.5 Sonnet (eval run 4),558,82.60840525585478,57.87771242,25.6,0,46.4,38.2,39.2,14.9,59.9,35.5
Llama 3.1 8B (eval run 1),540,61.115180503705204,28.63504955897766,23.9,1,55.6,13.7,16.3,16,38.1,41.2
Llama 3.1 8B (eval run 2),540,56.93598559058188,26.166187277041143,23.9,1,40.6,30.8,26,16.8,20.3,43
Llama 3.1 8B (eval run 3),531,63.94772814102609,30.479974840720313,23.9,1,42.9,35.9,42.1,22.7,39.3,40.2
Llama 3.1 8B (eval run 4),539,59.703404184725294,30.857478418807627,23.9,1,42.7,21.6,41.6,23,35.3,42.1
Llama 3.1 405B (eval run 1),540,77.54845625340964,46.76721830749879,25.5,1,71.8,34.7,44.3,23.9,44.4,52.8
Llama 3.1 405B (eval run 2),538,79.76572177514973,49.28626931538484,25.5,1,61.6,48.3,48.4,27.4,56,58.3
Llama 3.1 405B (eval run 3),543,77.45808609305476,44.3265929,25.5,1,72.5,50.4,58.6,27.6,55,46.7
Llama 3.1 405B (eval run 4),543,73.57960200188583,52.95278379669375,25.5,1,63.7,58.2,49.8,47.7,58.8,42
Grok 2 (eval run 1),575,79.55120197,50.85043803659204,25.5,0,48.2,46.9,47.1,39.5,48.6,51.1
Grok 2 (eval run 2),584,83.65361073060551,48.67886295386953,25.5,0,29.8,42,33.8,26.5,50.2,41.9
Grok 2 (eval run 3),578,81.60831698672261,50.81618463142123,25.5,0,38.2,39.1,36.6,26.7,57.3,44.1
Grok 2 (eval run 4),578,79.98719533319982,51.50967130442646,25.5,0,31.6,44.3,43.7,21.9,55.5,37.7
Gemini 2.0 Flash (eval run 1),620,84.51870465328429,57.27175472070524,25.3,0,40.1,46.3,38.1,17.7,35.9,42.9
Gemini 2.0 Flash (eval run 2),610,82.60984698319214,50.84948369690693,25.3,0,44.3,38.4,28.4,27.8,47,47.2
Gemini 2.0 Flash (eval run 3),613,78.89192432426782,53.34356081872912,25.3,0,39.3,56.8,33.9,22.3,47.6,42.1
Gemini 2.0 Flash (eval run 4),615,78.80461908267813,55.997629677897564,25.3,0,39.1,56.3,35.4,27.9,39.4,49.5
Gemini 2.0 (eval run 1),615,81.68401820565109,62.09189447778325,25.8,0,45.2,57.7,31.2,21.3,56.5,54.1
Gemini 2.0 (eval run 2),622,83.78957641666605,61.01698071691412,25.8,0,48.8,45.7,38,26.5,63.9,54.7
Gemini 2.0 (eval run 3),616,86.34528859250982,66.01219432232823,25.8,0,44.1,59.3,37.4,32.5,53.3,56.9
Gemini 2.0 (eval run 4),620,84.61373580187525,59.91217216498789,25.8,0,52.3,54.8,44.8,33.3,58.2,62.4
o1-mini (eval run 1),590,82.60624197817805,50.52972007536113,25.4,0,47.1,47.1,34.4,31.2,43.2,41.2
o1-mini (eval run 2),585,79.28902981941658,50.27146934488362,25.4,0,42.9,50.7,31.6,20.4,43,45
o1-mini (eval run 3),593,88.29368509,55.63053383384501,25.4,0,51.4,52.4,36.7,34.8,62.6,59.5
o1-mini (eval run 4),589,79.86689162360295,49.13784991535247,25.4,0,42.7,47.4,34.4,23.5,43.5,53.1
o1 (eval run 1),599,86.52323246509128,55.94681501077102,25.9,0,61.6,53.8,41.8,35,57.7,44.1
o1 (eval run 2),600,91.01463405222059,52.81274848676917,25.9,0,51.9,52.1,31.9,31.5,44.1,52.9
o1 (eval run 3),597,82.63177742565337,54.51200223836528,25.9,0,44.4,37.3,30.4,22.5,63.7,57.9
o1 (eval run 4),603,85.34396397,53.41168171790178,25.9,0,43.7,49,43.5,29.1,56.9,54.5
Claude 3.7 Sonnet (eval run 1),676,91.80965182698161,67.71721233724233,25.9,0,49.1,54.4,42.1,35.2,63.5,62.7
Claude 3.7 Sonnet (eval run 2),679,84.60567902160842,63.598864263827025,25.9,0,42,46,33,35.7,62.9,54.6
Claude 3.7 Sonnet (eval run 3),680,85.78144354681493,64.70964326463609,25.9,0,45.1,64.7,44.9,31.4,52.1,54.7
Claude 3.7 Sonnet (eval run 4),677,93.59228382080329,76.71520150772122,25.9,0,57.4,72.7,51.1,43,76.9,66.6
DeepSeek V3 (eval run 1),654,83.07937760802993,61.02466665282153,25.2,1,76.2,62.5,49.5,40.2,62.7,65.8
DeepSeek V3 (eval run 2),645,88.32174411101398,57.03942876471529,25.2,1,77.9,55.7,59.6,32.8,63.5,69.1
DeepSeek V3 (eval run 3),655,85.94334394015436,61.304298223399854,25.2,1,71.8,63.5,63.9,39,63.1,69.7
DeepSeek V3 (eval run 4),646,83.05960982192475,59.59853110645188,25.2,1,79.3,53.7,60.3,45.6,60.3,62.6
Qwen 2.5 72B (eval run 1),660,81.40456564006334,55.200837529973136,25,1,75.6,51.9,59.7,44.7,64.6,67.8
Qwen 2.5 72B (eval run 2),656,82.58042472406564,54.33401834354295,25,1,71,44,47.4,25.6,62,82.5
Qwen 2.5 72B (eval run 3),659,84.53178954454957,56.46628798,25,1,69.8,54.6,59,27.8,66.3,56.2
Qwen 2.5 72B (eval run 4),661,82.87939102099801,56.159466042733605,25,1,75.7,51.9,54.8,42.1,61.5,67.8
Llama 4 Scout (eval run 1),698,79.19610491614289,55.949482785019924,25.2,1,72.1,43.6,53.7,27.3,64.4,60.4
Llama 4 Scout (eval run 2),699,80.75678350396628,61.27950492679179,25.2,1,64.1,54,64.1,26.3,62.1,70.8
Llama 4 Scout (eval run 3),697,81.96461638139125,52.71082837,25.2,1,72.2,50.4,64.8,30.9,74.2,66.2
Llama 4 Scout (eval run 4),696,78.21897132004146,58.57342886,25.2,1,72.1,63,68.1,36.2,52.7,69.5
Llama 4 (eval run 1),696,87.20035850847903,57.766242039077426,25.7,1,74.3,61.9,67.7,35.7,74.9,78.4
Llama 4 (eval run 2),695,88.31859620389545,64.36326101464309,25.7,1,82.5,59.8,61.8,33,79.3,74.8
Llama 4 (eval run 3),697,84.82118798137513,63.79115161306956,25.7,1,70,59.9,63.7,32.4,64.2,78.1
Llama 4 (eval run 4),705,86.13116699589061,62.12348644258933,25.7,1,87.5,58.5,65.9,32.3,82.6,58
o3-mini (eval run 1),733,89.37005655448279,65.45768754,25.7,0,60,54.8,44.3,27,68.8,70.4
o3-mini (eval run 2),726,93.67872993,57.30002467720611,25.7,0,53.2,47.3,42.2,45.9,66.3,63.6
o3-mini (eval run 3),733,90.44128105343111,65.88798197,25.7,0,55.6,55.7,48.9,34.2,63.6,68.1
o3-mini (eval run 4),729,89.07021354669678,59.72983465256425,25.7,0,37.1,48.9,41,37.2,58.4,51.8
o3 (eval run 1),756,97.31837553541047,67.39841578525159,26.2,0,54.6,54,42.8,32.2,68.1,63.1
o3 (eval run 2),759,95.15957003424548,71.01442433063131,26.2,0,58.6,65.5,45.6,34.1,72.6,68.5
o3 (eval run 3),759,90.36775372324013,70.99663148293237,26.2,0,50.3,63.2,50.9,30.4,76.6,64.5
o3 (eval run 4),759,96.25011149,73.74796572596313,26.2,0,65.8,53.2,49.4,19.5,73.2,70.7
Gemini 2.5 Flash (eval run 1),779,90.94352972244424,70.31726003678872,25.6,0,66.1,58.2,48.2,24.5,61,70.9
Gemini 2.5 Flash (eval run 2),775,92.35983631541949,70.31697948,25.6,0,48.1,65.3,50.5,22,71.9,54.6
Gemini 2.5 Flash (eval run 3),772,87.25857261616324,69.19963744757762,25.6,0,46.1,63.5,42.6,18.7,69.7,67.4
Gemini 2.5 Flash (eval run 4),778,86.25644044,71.96875180378456,25.6,0,52.2,64.3,50.3,25.2,69.2,61.8
Gemini 2.5 Pro (eval run 1),775,93.95587585604416,73.42804682748452,26.1,0,69,63.2,51.1,42.9,75.4,66.6
Gemini 2.5 Pro (eval run 2),777,94.92811773,76.25260696619378,26.1,0,53.1,59.4,42.7,35,71.2,60.4
Gemini 2.5 Pro (eval run 3),781,93.82693672784661,69.28387923304028,26.1,0,60.2,54.6,56,42.5,63.4,69.9
Gemini 2.5 Pro (eval run 4),782,91.83261707,70.48397842221556,26.1,0,68.3,63.1,44.3,37.1,63.5,51.5
Claude 4 Sonnet (eval run 1),796,97.77807108,81.91260143,26.2,0,54,70.7,43.3,41.1,67.8,77.1
Claude 4 Sonnet (eval run 2),803,92.25267392855314,76.9588479,26.2,0,51.5,72.3,44,30.1,74.3,59.7
Claude 4 Sonnet (eval run 3),795,90.95859962654718,77.98657916781026,26.2,0,55.8,71.2,44.2,38.5,72.2,68.2
Claude 4 Sonnet (eval run 4),797,94.78002367887811,83.46593611,26.2,0,58.7,67.4,53.5,40.5,74.4,71
Claude 4 Opus (eval run 1),805,89.27177622850475,82.91310018709078,26.4,0,63.6,59.5,50.6,32.8,57.6,75.7
Claude 4 Opus (eval run 2),811,95.18008393308145,83.24167085611808,26.4,0,64.7,67.2,51.7,40.3,70.6,71.7
Claude 4 Opus (eval run 3),810,89.84190430798814,80.22668972442668,26.4,0,48.2,67.4,55.2,39.6,81,64.4
Claude 4 Opus (eval run 4),810,96.47726580698338,77.25521680163817,26.4,0,66.6,65.7,53.8,33.4,71.7,69
Grok 3 (eval run 1),822,93.92089153175165,80.53975195753021,26,0,56.5,62.8,53.8,28.6,77.2,78.6
Grok 3 (eval run 2),815,91.57264084619551,80.44129106989863,26,0,65.8,66.9,53.7,27.9,65.5,72.4
Grok 3 (eval run 3),823,93.58219505034292,78.70320267809609,26,0,55.7,62.4,54.8,35.7,82.6,68
Grok 3 (eval run 4),818,93.67585809820432,75.40996420578186,26,0,55.3,60.1,37.2,36.9,71.4,67.9
DeepSeek V4 (eval run 1),850,90.61869367,77.15018159306048,25.6,1,88.4,69.6,67.4,33.8,82.8,73.8
DeepSeek V4 (eval run 2),848,93.49956061727573,72.82439175406478,25.6,1,91.4,64.3,55.5,38.8,94.1,86.2
DeepSeek V4 (eval run 3),853,94.70363886914743,73.76923531,25.6,1,90.5,69.1,69.5,42.3,90.3,74.5
DeepSeek V4 (eval run 4),849,88.94437496,76.60691857549358,25.6,1,73.7,68.6,69,42.1,78.3,86.4
GPT-5 mini (eval run 1),881,93.02856513890166,84.98688177131096,26,0,63.5,61.9,60.4,45.2,74.5,74.1
GPT-5 mini (eval run 2),880,95.14198495641632,83.52546020067018,26,0,55.4,65.8,61.1,43.7,76.2,88.6
GPT-5 mini (eval run 3),879,98.81913275086521,80.38451493340187,26,0,65.4,77.1,54.8,30.2,81.2,69.3
GPT-5 mini (eval run 4),876,87.99119426983371,85.81276308455142,26,0,48,60.4,50.3,45.5,75.5,69.6
GPT-5 (eval run 1),895,97.26970111085758,91.92865205458158,26.6,0,70.2,62.6,61.8,35.8,83.3,90.1
GPT-5 (eval run 2),902,92.99435114735269,84.24505835768159,26.6,0,58.5,59.5,52,44.3,88.9,82
GPT-5 (eval run 3),905,95.01465927493643,89.31890981805098,26.6,0,57.8,73.8,57.5,39,82.9,73.4
GPT-5 (eval run 4),900,98.31046960703193,88.82882253798566,26.6,0,72.2,74.6,63.9,36.4,98.4,80.7
Claude 5 (eval run 1),950,92.22474141,92.16306075617115,26.7,0,66,74.2,55.4,28.3,85.6,78.1
Claude 5 (eval run 2),946,96.82055991590416,93.37815731514983,26.7,0,64.5,84.1,65,38.6,98.2,82.9
Claude 5 (eval run 3),945,98.34560358,94.28039925612757,26.7,0,78.1,61.7,64.8,30.5,90.7,78.2
Claude 5 (eval run 4),946,98.57302843528767,93.59019412,26.7,0,66.9,79.9,54.9,45.7,94.1,81.8
Gemini 3 (eval run 1),917,96.55097146542136,90.59032828997087,26.6,0,67.1,84.2,64.3,48,80.7,69.6
Gemini 3 (eval run 2),917,99.05132118854355,88.81877648332629,26.6,0,70.2,68.1,62.5,34.3,80.2,81.2
Gemini 3 (eval run 3),918,96.33540302021156,89.64737349801561,26.6,0,62.9,72.1,58.7,40.7,87.3,81.6
Gemini 3 (eval run 4),922,99.07379760506018,84.02081888683753,26.6,0,70.8,68.3,52.1,34.5,88.9,78
Llama 5 (eval run 1),945,91.29453650639294,77.99915164045508,26.3,1,86.8,66.6,67.3,38,86.3,78.4
Llama 5 (eval run 2),943,93.30433889961206,87.24830169918322,26.3,1,90.2,74.6,73.1,47.2,83.8,97.6
Llama 5 (eval run 3),945,95.49447520485462,88.26765249013238,26.3,1,100,86.3,80.5,42.6,84.8,95.5
Llama 5 (eval run 4),945,98.31921533066922,84.79258619582158,26.3,1,89.9,88.2,70.8,53.4,83.9,89.9
