release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,grid_financial_cascade
473,54.384855364028866,28.21638852314161,23.8,1,34.5
475,58.58169052838676,28.06555643657033,23.8,1,38.9
477,62.00444722830229,27.281933117580927,23.8,1,35.5
481,70.44818908739079,38.659990051915294,24.8,1,45.2
475,73.39796893810109,40.50533373774373,24.8,1,46.0
482,73.65825722804891,34.43371083703145,24.8,1,46.5
476,68.40062116812562,35.22027217578343,24.8,1,49.9
520,67.55828463110923,45.90545284044321,24.9,0,37.4
516,70.44444325725307,39.587581116492025,24.9,0,27.5
514,71.78378461862549,46.51437970368314,24.9,0,32.1
515,75.99182722922947,52.74158739802199,24.9,0,24.9
519,76.52615469992034,43.60386115780607,25.6,0,29.2
525,79.66927865585959,47.56117671406902,25.6,0,37.6
520,77.46975800235047,49.57762734075085,25.6,0,37.4
520,81.66495058,50.47114570233603,25.6,0,34.7
555,73.41086561793547,43.975951165886926,25.0,0,34.0
551,74.78423022731667,48.83865234754504,25.0,0,33.6
558,76.32568630368222,51.94821853306917,25.0,0,39.5
557,74.75176100365212,45.44516870074892,25.0,0,31.2
557,81.18693483866062,64.38540919730549,25.6,0,36.9
555,80.94653330193904,60.51546761120903,25.6,0,39.5
565,85.32893253,59.15485289831759,25.6,0,20.5
558,82.60840525585478,57.87771242,25.6,0,39.2
540,61.1151805037052,28.63504955897766,23.9,1,16.3
540,56.93598559058188,26.166187277041143,23.9,1,26.0
531,63.94772814102609,30.479974840720313,23.9,1,42.1
539,59.703404184725294,30.857478418807627,23.9,1,41.6
540,77.54845625340964,46.76721830749879,25.5,1,44.3
538,79.76572177514973,49.28626931538484,25.5,1,48.4
543,77.45808609305476,44.3265929,25.5,1,58.6
543,73.57960200188583,52.95278379669375,25.5,1,49.8
575,79.55120197,50.85043803659204,25.5,0,47.1
584,83.65361073060551,48.67886295386953,25.5,0,33.8
578,81.60831698672261,50.81618463142123,25.5,0,36.6
578,79.98719533319982,51.50967130442646,25.5,0,43.7
620,84.51870465328429,57.27175472070524,25.3,0,38.1
610,82.60984698319214,50.84948369690693,25.3,0,28.4
613,78.89192432426782,53.34356081872912,25.3,0,33.9
615,78.80461908267813,55.99762967789757,25.3,0,35.4
615,81.68401820565109,62.09189447778325,25.8,0,31.2
622,83.78957641666605,61.01698071691412,25.8,0,38.0
616,86.34528859250982,66.01219432232823,25.8,0,37.4
620,84.61373580187525,59.91217216498789,25.8,0,44.8
590,82.60624197817805,50.52972007536113,25.4,0,34.4
585,79.28902981941658,50.27146934488362,25.4,0,31.6
593,88.29368509,55.63053383384501,25.4,0,36.7
589,79.86689162360295,49.13784991535247,25.4,0,34.4
599,86.52323246509128,55.94681501077102,25.9,0,41.8
600,91.0146340522206,52.81274848676917,25.9,0,31.9
597,82.63177742565337,54.51200223836528,25.9,0,30.4
603,85.34396397,53.41168171790178,25.9,0,43.5
676,91.8096518269816,67.71721233724233,25.9,0,42.1
679,84.60567902160842,63.598864263827025,25.9,0,33.0
680,85.78144354681493,64.70964326463609,25.9,0,44.9
677,93.59228382080327,76.71520150772122,25.9,0,51.1
654,83.07937760802993,61.02466665282153,25.2,1,49.5
645,88.32174411101398,57.03942876471529,25.2,1,59.6
655,85.94334394015436,61.304298223399854,25.2,1,63.9
646,83.05960982192475,59.59853110645188,25.2,1,60.3
660,81.40456564006334,55.200837529973136,25.0,1,59.7
656,82.58042472406564,54.33401834354295,25.0,1,47.4
659,84.53178954454957,56.46628798,25.0,1,59.0
661,82.87939102099801,56.159466042733605,25.0,1,54.8
698,79.19610491614289,55.94948278501992,25.2,1,53.7
699,80.75678350396628,61.27950492679179,25.2,1,64.1
697,81.96461638139125,52.71082837,25.2,1,64.8
696,78.21897132004146,58.57342886,25.2,1,68.1
696,87.20035850847903,57.766242039077426,25.7,1,67.7
695,88.31859620389545,64.36326101464309,25.7,1,61.8
697,84.82118798137513,63.79115161306956,25.7,1,63.7
705,86.13116699589061,62.12348644258933,25.7,1,65.9
733,89.37005655448279,65.45768754,25.7,0,44.3
726,93.67872993,57.30002467720611,25.7,0,42.2
733,90.44128105343113,65.88798197,25.7,0,48.9
729,89.07021354669678,59.72983465256425,25.7,0,41.0
756,97.31837553541048,67.39841578525159,26.2,0,42.8
759,95.15957003424548,71.01442433063131,26.2,0,45.6
759,90.36775372324011,70.99663148293237,26.2,0,50.9
759,96.25011149,73.74796572596313,26.2,0,49.4
779,90.94352972244424,70.31726003678872,25.6,0,48.2
775,92.35983631541949,70.31697948,25.6,0,50.5
772,87.25857261616324,69.19963744757762,25.6,0,42.6
778,86.25644044,71.96875180378456,25.6,0,50.3
775,93.95587585604416,73.42804682748452,26.1,0,51.1
777,94.92811773,76.25260696619378,26.1,0,42.7
781,93.8269367278466,69.28387923304028,26.1,0,56.0
782,91.83261707,70.48397842221556,26.1,0,44.3
796,97.77807108,81.91260143,26.2,0,43.3
803,92.25267392855314,76.9588479,26.2,0,44.0
795,90.95859962654718,77.98657916781026,26.2,0,44.2
797,94.78002367887812,83.46593611,26.2,0,53.5
805,89.27177622850475,82.91310018709078,26.4,0,50.6
811,95.18008393308143,83.24167085611808,26.4,0,51.7
810,89.84190430798814,80.22668972442668,26.4,0,55.2
810,96.47726580698338,77.25521680163817,26.4,0,53.8
822,93.92089153175164,80.53975195753021,26.0,0,53.8
815,91.57264084619553,80.44129106989863,26.0,0,53.7
823,93.58219505034292,78.70320267809609,26.0,0,54.8
818,93.67585809820432,75.40996420578186,26.0,0,37.2
850,90.61869367,77.15018159306048,25.6,1,67.4
848,93.49956061727572,72.82439175406478,25.6,1,55.5
853,94.70363886914744,73.76923531,25.6,1,69.5
849,88.94437496,76.60691857549358,25.6,1,69.0
881,93.02856513890166,84.98688177131096,26.0,0,60.4
880,95.14198495641632,83.52546020067018,26.0,0,61.1
879,98.8191327508652,80.38451493340187,26.0,0,54.8
876,87.99119426983371,85.81276308455142,26.0,0,50.3
895,97.26970111085758,91.92865205458158,26.6,0,61.8
902,92.99435114735267,84.24505835768159,26.6,0,52.0
905,95.01465927493643,89.31890981805098,26.6,0,57.5
900,98.31046960703192,88.82882253798566,26.6,0,63.9
950,92.22474141,92.16306075617116,26.7,0,55.4
946,96.82055991590416,93.37815731514983,26.7,0,65.0
945,98.34560358,94.28039925612757,26.7,0,64.8
946,98.57302843528768,93.59019412,26.7,0,54.9
917,96.55097146542136,90.59032828997088,26.6,0,64.3
917,99.05132118854355,88.81877648332629,26.6,0,62.5
918,96.33540302021156,89.64737349801561,26.6,0,58.7
922,99.07379760506018,84.02081888683753,26.6,0,52.1
945,91.29453650639294,77.99915164045508,26.3,1,67.3
943,93.30433889961206,87.24830169918322,26.3,1,73.1
945,95.49447520485462,88.26765249013238,26.3,1,80.5
945,98.31921533066922,84.79258619582158,26.3,1,70.8
