release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,epistemic_collapse
578,79.98719533319982,51.50967130442646,25.5,0,37.7
620,84.51870465328429,57.27175472070524,25.3,0,42.9
610,82.60984698319214,50.84948369690693,25.3,0,47.2
613,78.89192432426782,53.34356081872912,25.3,0,42.1
615,78.80461908267813,55.99762967789757,25.3,0,49.5
615,81.68401820565109,62.09189447778325,25.8,0,54.1
622,83.78957641666605,61.01698071691412,25.8,0,54.7
616,86.34528859250982,66.01219432232823,25.8,0,56.9
620,84.61373580187525,59.91217216498789,25.8,0,62.4
590,82.60624197817805,50.52972007536113,25.4,0,41.2
585,79.28902981941658,50.27146934488362,25.4,0,45.0
593,88.29368509,55.63053383384501,25.4,0,59.5
589,79.86689162360295,49.13784991535247,25.4,0,53.1
599,86.52323246509128,55.94681501077102,25.9,0,44.1
600,91.0146340522206,52.81274848676917,25.9,0,52.9
597,82.63177742565337,54.51200223836528,25.9,0,57.9
603,85.34396397,53.41168171790178,25.9,0,54.5
676,91.8096518269816,67.71721233724233,25.9,0,62.7
679,84.60567902160842,63.598864263827025,25.9,0,54.6
680,85.78144354681493,64.70964326463609,25.9,0,54.7
677,93.59228382080327,76.71520150772122,25.9,0,66.6
654,83.07937760802993,61.02466665282153,25.2,1,65.8
645,88.32174411101398,57.03942876471529,25.2,1,69.1
655,85.94334394015436,61.304298223399854,25.2,1,69.7
646,83.05960982192475,59.59853110645188,25.2,1,62.6
660,81.40456564006334,55.200837529973136,25.0,1,67.8
656,82.58042472406564,54.33401834354295,25.0,1,82.5
659,84.53178954454957,56.46628798,25.0,1,56.2
661,82.87939102099801,56.159466042733605,25.0,1,67.8
698,79.19610491614289,55.94948278501992,25.2,1,60.4
699,80.75678350396628,61.27950492679179,25.2,1,70.8
697,81.96461638139125,52.71082837,25.2,1,66.2
696,78.21897132004146,58.57342886,25.2,1,69.5
696,87.20035850847903,57.766242039077426,25.7,1,78.4
695,88.31859620389545,64.36326101464309,25.7,1,74.8
697,84.82118798137513,63.79115161306956,25.7,1,78.1
705,86.13116699589061,62.12348644258933,25.7,1,58.0
733,89.37005655448279,65.45768754,25.7,0,70.4
726,93.67872993,57.30002467720611,25.7,0,63.6
733,90.44128105343113,65.88798197,25.7,0,68.1
729,89.07021354669678,59.72983465256425,25.7,0,51.8
756,97.31837553541048,67.39841578525159,26.2,0,63.1
759,95.15957003424548,71.01442433063131,26.2,0,68.5
759,90.36775372324011,70.99663148293237,26.2,0,64.5
759,96.25011149,73.74796572596313,26.2,0,70.7
779,90.94352972244424,70.31726003678872,25.6,0,70.9
775,92.35983631541949,70.31697948,25.6,0,54.6
772,87.25857261616324,69.19963744757762,25.6,0,67.4
778,86.25644044,71.96875180378456,25.6,0,61.8
775,93.95587585604416,73.42804682748452,26.1,0,66.6
777,94.92811773,76.25260696619378,26.1,0,60.4
781,93.8269367278466,69.28387923304028,26.1,0,69.9
782,91.83261707,70.48397842221556,26.1,0,51.5
796,97.77807108,81.91260143,26.2,0,77.1
803,92.25267392855314,76.9588479,26.2,0,59.7
795,90.95859962654718,77.98657916781026,26.2,0,68.2
797,94.78002367887812,83.46593611,26.2,0,71.0
805,89.27177622850475,82.91310018709078,26.4,0,75.7
811,95.18008393308143,83.24167085611808,26.4,0,71.7
810,89.84190430798814,80.22668972442668,26.4,0,64.4
810,96.47726580698338,77.25521680163817,26.4,0,69.0
822,93.92089153175164,80.53975195753021,26.0,0,78.6
815,91.57264084619553,80.44129106989863,26.0,0,72.4
823,93.58219505034292,78.70320267809609,26.0,0,68.0
818,93.67585809820432,75.40996420578186,26.0,0,67.9
850,90.61869367,77.15018159306048,25.6,1,73.8
848,93.49956061727572,72.82439175406478,25.6,1,86.2
853,94.70363886914744,73.76923531,25.6,1,74.5
849,88.94437496,76.60691857549358,25.6,1,86.4
881,93.02856513890166,84.98688177131096,26.0,0,74.1
880,95.14198495641632,83.52546020067018,26.0,0,88.6
879,98.8191327508652,80.38451493340187,26.0,0,69.3
876,87.99119426983371,85.81276308455142,26.0,0,69.6
895,97.26970111085758,91.92865205458158,26.6,0,90.1
902,92.99435114735267,84.24505835768159,26.6,0,82.0
905,95.01465927493643,89.31890981805098,26.6,0,73.4
900,98.31046960703192,88.82882253798566,26.6,0,80.7
950,92.22474141,92.16306075617116,26.7,0,78.1
946,96.82055991590416,93.37815731514983,26.7,0,82.9
945,98.34560358,94.28039925612757,26.7,0,78.2
946,98.57302843528768,93.59019412,26.7,0,81.8
917,96.55097146542136,90.59032828997088,26.6,0,69.6
917,99.05132118854355,88.81877648332629,26.6,0,81.2
918,96.33540302021156,89.64737349801561,26.6,0,81.6
922,99.07379760506018,84.02081888683753,26.6,0,78.0
945,91.29453650639294,77.99915164045508,26.3,1,78.4
943,93.30433889961206,87.24830169918322,26.3,1,97.6
945,95.49447520485462,88.26765249013238,26.3,1,95.5
945,98.31921533066922,84.79258619582158,26.3,1,89.9
