release_days_since_2023,benchmark_score,agentic_score,compute_log10_flops,open_weights,climate_tipping_cascade
416,68.83542221,39.90483506377444,25.1,0,25.0
424,74.16278742503556,40.48825919531502,25.4,0,26.6
421,76.46555583,42.13367973937856,25.4,0,33.2
423,74.12818731937891,38.612944622006296,25.4,0,23.8
418,77.14493970314288,39.42608702535516,25.4,0,28.4
405,64.16678196,29.24164314199517,24.9,0,16.5
404,68.24290186013441,32.42727721,24.9,0,25.8
399,65.93186838415866,32.47561907323014,24.9,0,22.9
402,68.56397598491834,31.07196038083929,24.9,0,18.5
444,67.34518514733337,37.91083846030479,24.7,0,21.5
448,68.04565526500417,35.41248106323288,24.7,0,21.8
447,67.82649414949319,39.03748235618306,24.7,0,21.4
445,70.20186664726478,40.33959352808984,24.7,0,34.0
440,73.75378628872645,40.73010506386754,25.4,0,25.6
439,73.80070447,36.937996698125914,25.4,0,24.5
445,70.69325096911399,39.008259517195555,25.4,0,13.2
435,74.99943556680859,39.28356283391982,25.4,0,20.8
460,76.24807074446517,39.93120808681572,25.0,0,23.6
457,74.84378892116771,38.19914695997037,25.0,0,20.7
463,70.62494486272355,39.982900772298315,25.0,0,32.9
457,75.10077034364349,35.818038730422955,25.0,0,23.8
477,58.59433901,26.217550132909615,23.8,1,31.1
473,54.384855364028866,28.21638852314161,23.8,1,23.4
475,58.58169052838676,28.06555643657033,23.8,1,23.7
477,62.00444722830229,27.281933117580927,23.8,1,23.3
481,70.44818908739079,38.659990051915294,24.8,1,28.9
475,73.39796893810109,40.50533373774373,24.8,1,39.6
482,73.65825722804891,34.43371083703145,24.8,1,15.1
476,68.40062116812562,35.22027217578343,24.8,1,16.4
520,67.55828463110923,45.90545284044321,24.9,0,21.4
516,70.44444325725307,39.587581116492025,24.9,0,24.6
514,71.78378461862549,46.51437970368314,24.9,0,29.2
515,75.99182722922947,52.74158739802199,24.9,0,28.8
519,76.52615469992034,43.60386115780607,25.6,0,25.5
525,79.66927865585959,47.56117671406902,25.6,0,34.6
520,77.46975800235047,49.57762734075085,25.6,0,34.5
520,81.66495058,50.47114570233603,25.6,0,29.9
555,73.41086561793547,43.975951165886926,25.0,0,31.5
551,74.78423022731667,48.83865234754504,25.0,0,27.8
558,76.32568630368222,51.94821853306917,25.0,0,23.2
557,74.75176100365212,45.44516870074892,25.0,0,30.1
557,81.18693483866062,64.38540919730549,25.6,0,30.6
555,80.94653330193904,60.51546761120903,25.6,0,29.6
565,85.32893253,59.15485289831759,25.6,0,38.9
558,82.60840525585478,57.87771242,25.6,0,14.9
540,61.1151805037052,28.63504955897766,23.9,1,16.0
540,56.93598559058188,26.166187277041143,23.9,1,16.8
531,63.94772814102609,30.479974840720313,23.9,1,22.7
539,59.703404184725294,30.857478418807627,23.9,1,23.0
540,77.54845625340964,46.76721830749879,25.5,1,23.9
538,79.76572177514973,49.28626931538484,25.5,1,27.4
543,77.45808609305476,44.3265929,25.5,1,27.6
543,73.57960200188583,52.95278379669375,25.5,1,47.7
575,79.55120197,50.85043803659204,25.5,0,39.5
584,83.65361073060551,48.67886295386953,25.5,0,26.5
578,81.60831698672261,50.81618463142123,25.5,0,26.7
578,79.98719533319982,51.50967130442646,25.5,0,21.9
620,84.51870465328429,57.27175472070524,25.3,0,17.7
610,82.60984698319214,50.84948369690693,25.3,0,27.8
613,78.89192432426782,53.34356081872912,25.3,0,22.3
615,78.80461908267813,55.99762967789757,25.3,0,27.9
615,81.68401820565109,62.09189447778325,25.8,0,21.3
622,83.78957641666605,61.01698071691412,25.8,0,26.5
616,86.34528859250982,66.01219432232823,25.8,0,32.5
620,84.61373580187525,59.91217216498789,25.8,0,33.3
590,82.60624197817805,50.52972007536113,25.4,0,31.2
585,79.28902981941658,50.27146934488362,25.4,0,20.4
593,88.29368509,55.63053383384501,25.4,0,34.8
589,79.86689162360295,49.13784991535247,25.4,0,23.5
599,86.52323246509128,55.94681501077102,25.9,0,35.0
600,91.0146340522206,52.81274848676917,25.9,0,31.5
597,82.63177742565337,54.51200223836528,25.9,0,22.5
603,85.34396397,53.41168171790178,25.9,0,29.1
676,91.8096518269816,67.71721233724233,25.9,0,35.2
679,84.60567902160842,63.598864263827025,25.9,0,35.7
680,85.78144354681493,64.70964326463609,25.9,0,31.4
677,93.59228382080327,76.71520150772122,25.9,0,43.0
654,83.07937760802993,61.02466665282153,25.2,1,40.2
645,88.32174411101398,57.03942876471529,25.2,1,32.8
655,85.94334394015436,61.304298223399854,25.2,1,39.0
646,83.05960982192475,59.59853110645188,25.2,1,45.6
660,81.40456564006334,55.200837529973136,25.0,1,44.7
656,82.58042472406564,54.33401834354295,25.0,1,25.6
659,84.53178954454957,56.46628798,25.0,1,27.8
661,82.87939102099801,56.159466042733605,25.0,1,42.1
698,79.19610491614289,55.94948278501992,25.2,1,27.3
699,80.75678350396628,61.27950492679179,25.2,1,26.3
697,81.96461638139125,52.71082837,25.2,1,30.9
696,78.21897132004146,58.57342886,25.2,1,36.2
696,87.20035850847903,57.766242039077426,25.7,1,35.7
695,88.31859620389545,64.36326101464309,25.7,1,33.0
697,84.82118798137513,63.79115161306956,25.7,1,32.4
705,86.13116699589061,62.12348644258933,25.7,1,32.3
733,89.37005655448279,65.45768754,25.7,0,27.0
726,93.67872993,57.30002467720611,25.7,0,45.9
733,90.44128105343113,65.88798197,25.7,0,34.2
729,89.07021354669678,59.72983465256425,25.7,0,37.2
756,97.31837553541048,67.39841578525159,26.2,0,32.2
759,95.15957003424548,71.01442433063131,26.2,0,34.1
759,90.36775372324011,70.99663148293237,26.2,0,30.4
759,96.25011149,73.74796572596313,26.2,0,19.5
779,90.94352972244424,70.31726003678872,25.6,0,24.5
775,92.35983631541949,70.31697948,25.6,0,22.0
772,87.25857261616324,69.19963744757762,25.6,0,18.7
778,86.25644044,71.96875180378456,25.6,0,25.2
775,93.95587585604416,73.42804682748452,26.1,0,42.9
777,94.92811773,76.25260696619378,26.1,0,35.0
781,93.8269367278466,69.28387923304028,26.1,0,42.5
782,91.83261707,70.48397842221556,26.1,0,37.1
796,97.77807108,81.91260143,26.2,0,41.1
803,92.25267392855314,76.9588479,26.2,0,30.1
795,90.95859962654718,77.98657916781026,26.2,0,38.5
797,94.78002367887812,83.46593611,26.2,0,40.5
805,89.27177622850475,82.91310018709078,26.4,0,32.8
811,95.18008393308143,83.24167085611808,26.4,0,40.3
810,89.84190430798814,80.22668972442668,26.4,0,39.6
810,96.47726580698338,77.25521680163817,26.4,0,33.4
822,93.92089153175164,80.53975195753021,26.0,0,28.6
815,91.57264084619553,80.44129106989863,26.0,0,27.9
823,93.58219505034292,78.70320267809609,26.0,0,35.7
818,93.67585809820432,75.40996420578186,26.0,0,36.9
850,90.61869367,77.15018159306048,25.6,1,33.8
848,93.49956061727572,72.82439175406478,25.6,1,38.8
853,94.70363886914744,73.76923531,25.6,1,42.3
849,88.94437496,76.60691857549358,25.6,1,42.1
881,93.02856513890166,84.98688177131096,26.0,0,45.2
880,95.14198495641632,83.52546020067018,26.0,0,43.7
879,98.8191327508652,80.38451493340187,26.0,0,30.2
876,87.99119426983371,85.81276308455142,26.0,0,45.5
895,97.26970111085758,91.92865205458158,26.6,0,35.8
902,92.99435114735267,84.24505835768159,26.6,0,44.3
905,95.01465927493643,89.31890981805098,26.6,0,39.0
900,98.31046960703192,88.82882253798566,26.6,0,36.4
950,92.22474141,92.16306075617116,26.7,0,28.3
946,96.82055991590416,93.37815731514983,26.7,0,38.6
945,98.34560358,94.28039925612757,26.7,0,30.5
946,98.57302843528768,93.59019412,26.7,0,45.7
917,96.55097146542136,90.59032828997088,26.6,0,48.0
917,99.05132118854355,88.81877648332629,26.6,0,34.3
918,96.33540302021156,89.64737349801561,26.6,0,40.7
922,99.07379760506018,84.02081888683753,26.6,0,34.5
945,91.29453650639294,77.99915164045508,26.3,1,38.0
943,93.30433889961206,87.24830169918322,26.3,1,47.2
945,95.49447520485462,88.26765249013238,26.3,1,42.6
945,98.31921533066922,84.79258619582158,26.3,1,53.4
